%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.transform.translation.x,field.transform.translation.y,field.transform.translation.z,field.transform.rotation.x,field.transform.rotation.y,field.transform.rotation.z,field.transform.rotation.w
43732829999,1034,43732829999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43734999999,1031,43734999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43740000000,1032,43740000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43744999999,1033,43744999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43750000000,1035,43750000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43755000000,1036,43755000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43759999999,1037,43759999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43765000000,1038,43765000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43770000000,1039,43770000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43774999999,1040,43774999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43780000000,1041,43780000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43784999999,1042,43784999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43789999999,1043,43789999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43795000000,1044,43795000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43799999999,1045,43799999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43804999999,1046,43804999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43810000000,1047,43810000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43814999999,1048,43814999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43820000000,1049,43820000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43825000000,1050,43825000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43829999999,1051,43829999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43835000000,1052,43835000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43840000000,1053,43840000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43844999999,1054,43844999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43850000000,1055,43850000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43854999999,1056,43854999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43859999999,1057,43859999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43865000000,1058,43865000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43869999999,1059,43869999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43875000000,1060,43875000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43880000000,1061,43880000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43884999999,1062,43884999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43890000000,1063,43890000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43895000000,1064,43895000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43899999999,1065,43899999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43903900000,1069,43903900000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43905000000,1066,43905000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43909999999,1067,43909999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43914999999,1068,43914999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43920000000,1070,43920000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43924999999,1071,43924999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43929999999,1072,43929999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43935000000,1073,43935000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43939999999,1074,43939999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43945000000,1075,43945000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43950000000,1076,43950000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43954999999,1077,43954999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43960000000,1078,43960000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43965000000,1079,43965000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43969999999,1080,43969999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43975000000,1081,43975000000,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
43979999999,1082,43979999999,base_link_gt,world,18.36918,24.77169,2.500005,-0.656186495197,-0.263475394527,0.263475394527,0.656186495197
